The House of the Spirits,1993,R,01 Apr 1994,145 min,"Drama, Romance",Bille August,"Isabel Allende, Bille August","Jeremy Irons, Meryl Streep, Maria Conchita Alonso","A rancher, his clairvoyant wife, and their family face turbulent years in South America in this adaptation of Isabel Allende's best-seller.","English, Spanish, French","Germany, Denmark, Portugal",12 wins,https://m.media-amazon.com/images/M/MV5BOWRmNjFkOGQtNjk1MC00OWM0LWE3YjItNWIxNWM5MjYzZjcxXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg
House Party 3,1994,R,12 Jan 1994,100 min,"Comedy, Music, Romance",Eric Meza,"Reginald Hudlin, David Toney, Takashi Bufford","Christopher Reid, Christopher Martin, David Edwards","Kid, after a lifetime 'playing the field', is about to get married. 'Play' plans to throw the best bachelor party ever - until 'Kid's' three wise-crackin' nephews come to town, intent on showing them what parties are all about.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjIwMTNlZTEtMDk3Yy00NmE2LThjYjYtMmQ3OGI3YTBkOWIyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
The Hudsucker Proxy,1994,PG,11 Mar 1994,111 min,"Comedy, Drama, Fantasy","Joel Coen, Ethan Coen","Ethan Coen, Joel Coen, Sam Raimi","Tim Robbins, Paul Newman, Jennifer Jason Leigh",A naive business graduate is installed as president of a manufacturing company as part of a stock scam.,English,"United Kingdom, Germany, United States",3 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMzNkYzI4ZTYtZjJlZC00ZTVjLTk2MDYtYWMwODA0NmFiYTIwXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg
I'll Do Anything,1994,PG-13,04 Feb 1994,115 min,"Comedy, Drama",James L. Brooks,James L. Brooks,"Nick Nolte, Albert Brooks, Whittni Wright","An aspiring actor's life gets upended when his ex-wife dumps their bossy, wild little daughter into his custody.",English,United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BYmZlM2ZlNGQtYmNmYS00ZDkxLWJiMWEtMmViZmI2MGNkNDE1XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg
In the Army Now,1994,PG,12 Aug 1994,91 min,"Comedy, War",Daniel Petrie Jr.,"Steve Zacharias, Jeff Buhai, Robbie Fox","Pauly Shore, Lori Petty, Andy Dick",Two misguided youths join the reserves to make some money for their entrepreneurial dreams. No sooner than they finish basic training are they called up to do their part to save the free world.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOWU5MDMzODQtMmM0ZS00MjU5LWExMzMtZjBlOTczY2NjNTMzXkEyXkFqcGdeQXVyMjY3MjUzNDk@._V1_SX300.jpg
In the Line of Fire,1993,R,09 Jul 1993,128 min,"Action, Crime, Drama",Wolfgang Petersen,Jeff Maguire,"Clint Eastwood, John Malkovich, Rene Russo","Secret Service agent Frank Horrigan couldn't save Kennedy, but he's determined not to let a clever assassin take out this president.",English,United States,Nominated for 3 Oscars. 2 wins & 17 nominations total,https://m.media-amazon.com/images/M/MV5BMjdhYjRlMTgtNTMzOS00OTZlLWIxMjAtNjM4NGY0NGQxODM3XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg
In the Name of the Father,1993,R,25 Feb 1994,133 min,"Biography, Crime, Drama",Jim Sheridan,"Gerry Conlon, Terry George, Jim Sheridan","Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie",A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,English,"Ireland, United Kingdom",Nominated for 7 Oscars. 7 wins & 41 nominations total,https://m.media-amazon.com/images/M/MV5BMmYyOTgwYWItYmU3Ny00M2E2LTk0NWMtMDVlNmQ0MWZiMTMxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
The Inkwell,1994,R,22 Apr 1994,110 min,"Comedy, Drama, Romance",Matty Rich,"Trey Ellis, Paris Qualles","Larenz Tate, Joe Morton, Suzzanne Douglas","A shy, troubled young man who set his own house on fire and has an imaginary friend, is sent to a vineyard where he finds himself in the middle of his political-arguing, party-loving family and his love torn between two girls.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzNmNTc0YmQtMzAxOC00YzQ1LTg3ZTYtNTFlYzRlYjViMTRiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
What's Love Got to Do with It,1993,R,25 Jun 1993,118 min,"Biography, Drama, Music",Brian Gibson,"Tina Turner, Kurt Loder, Kate Lanier","Angela Bassett, Laurence Fishburne, RaéVen Kelly","The story of singer Tina Turner's rise to stardom and how she gained the courage to break free from her abusive husband, Ike Turner.",English,United States,Nominated for 2 Oscars. 3 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BYmQ1Yjk3N2UtODMwMy00MDVhLTkzNDctM2ZkODZmYzdhNjk3XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg
Jimmy Hollywood,1994,R,30 Mar 1994,112 min,"Comedy, Crime, Drama",Barry Levinson,Barry Levinson,"Joe Pesci, Christian Slater, Victoria Abril","A failing actor living in crime infested Los Angeles, frustrated with his career, decides to take the law into his own hands, and becomes the leader of a mock-vigilante group that videotapes criminals and turns them over to the po...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzMwNzNjZjctNWQwZS00YmM1LTgyMmMtZjI1YzFhNzBhMzY3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Judgment Night,1993,R,15 Oct 1993,110 min,"Action, Crime, Drama",Stephen Hopkins,"Lewis Colick, Jere Cunningham","Emilio Estevez, Cuba Gooding Jr., Denis Leary","Four young friends, while taking a shortcut en route to a local boxing match, witness a brutal murder which leaves them running for their lives.",English,"Japan, United States",N/A,https://m.media-amazon.com/images/M/MV5BMmYzNDBhMTItZGJjMy00MjE1LTk2YmQtZGY2ZmQ0NDYzOTM1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Jurassic Park,1993,PG-13,11 Jun 1993,127 min,"Action, Adventure, Sci-Fi",Steven Spielberg,"Michael Crichton, David Koepp","Sam Neill, Laura Dern, Jeff Goldblum",A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"English, Spanish",United States,Won 3 Oscars. 44 wins & 27 nominations total,https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_SX300.jpg
Kalifornia,1993,R,03 Sep 1993,117 min,"Crime, Drama, Thriller",Dominic Sena,"Stephen Levy, Tim Metcalfe","Brad Pitt, Juliette Lewis, Kathy Larson","A journalist duo go on a tour of serial killer murder sites with two companions, unaware that one of them is a serial killer himself.",English,United States,4 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BNDE2ODZhYzUtMTBhYi00ODgxLWJlNTAtODljN2Q2NDhjZmVhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg
Killing Zoe,1993,R,01 Sep 1994,96 min,"Crime, Thriller",Roger Avary,Roger Avary,"Eric Stoltz, Julie Delpy, Martin Raymond","The cab driver sets American Zed up with Zoe in his Paris hotel. Despite FFR1000 charged, she's an art student with day jobs e.g. bank. Safecracker Zed meets his junkie friend after 11 years to rob a bank.","English, French","France, United States",2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BNmM1NzIzMjYtYjEzMi00NTI0LWFiNGMtMjAxY2Y3MzE2YjNhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
Lassie,1994,PG,22 Jul 1994,94 min,"Family, Adventure",Daniel Petrie,"Eric Knight, Matthew Jacobs, Gary Ross","Helen Slater, Tom Guiry, Jon Tenney","When a family of 4 moves from Baltimore to a farm in rural Virginia, they adopt an abandoned collie. The dog becomes the son's companion and protector, helping him adapt to rural life.",English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMGMyZjAzZGItY2ZkZi00Y2YwLTk4M2QtNTRmNWEzYjU1NDVlXkEyXkFqcGdeQXVyNjg4NzYzMzA@._V1_SX300.jpg
Last Action Hero,1993,PG-13,18 Jun 1993,130 min,"Action, Adventure, Comedy",John McTiernan,"Zak Penn, Adam Leff, Shane Black","Arnold Schwarzenegger, F. Murray Abraham, Art Carney","With the help of a magic ticket, a young movie fan is transported into the fictional world of his favorite action movie character.",English,United States,1 win & 16 nominations,https://m.media-amazon.com/images/M/MV5BNjdhOGY1OTktYWJkZC00OGY5LWJhY2QtZmQzZDA2MzY5MmNmXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg
Life with Mikey,1993,PG,04 Jun 1993,91 min,"Comedy, Family",James Lapine,Marc Lawrence,"Michael J. Fox, Christina Vidal, Nathan Lane",A once-popular actor who now runs a talent agency specializing in child acts is trying to discover the next star. He gets more than he bargained for when he recruits a child pickpocket.,English,United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BYTY3YTcxODktYTBlZC00MzQ1LWE4ZDUtZDQwYTZlMDUzOWExXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
Lightning Jack,1994,PG-13,11 Mar 1994,98 min,"Comedy, Western",Simon Wincer,Paul Hogan,"Paul Hogan, Cuba Gooding Jr., Beverly D'Angelo","Lightning Jack Kane is an Australian outlaw in the wild west. During a bungled bank robbery he picks up mute Ben Doyle as a hostage. The two become good friends, with Jack teaching Ben how to rob banks, while they plan Jack's last...",English,"United States, Australia",N/A,https://m.media-amazon.com/images/M/MV5BODFhZGQyOTUtNGNlNS00NjJkLTk1OWQtODZkYmMzOGI2ZWIwXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
M. Butterfly,1993,R,01 Oct 1993,101 min,"Drama, Romance",David Cronenberg,David Henry Hwang,"Jeremy Irons, John Lone, Barbara Sukowa","In 1960s China, French diplomat Rene Gallimard falls in love with an opera singer, Song Liling - but Song is not at all who Gallimard thinks.","English, Chinese, French, Italian","United States, Canada",1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BODhhMGEwOGEtNDJjMi00OWQ1LThlZjItNTk3Y2IzZThlNjdkXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg
Made in America,1993,PG-13,28 May 1993,111 min,Comedy,Richard Benjamin,"Marcia Brandwynne, Nadine Schiff, Holly Goldberg Sloan","Whoopi Goldberg, Ted Danson, Will Smith","A young black woman discovers that her father was a sperm donor, and if that weren't bad enough, he's white.","English, Japanese","United States, France",1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BYjhmYzdlMmQtOWVlOC00NDI0LWFiN2YtMGE0ZTc1ZDJhOGMzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Malice,1993,R,01 Oct 1993,107 min,"Crime, Mystery, Thriller",Harold Becker,"Aaron Sorkin, Jonas McCord, Scott Frank","Alec Baldwin, Nicole Kidman, Bill Pullman","A tale about a happily married couple who would like to have children. Tracy teaches art, Andy's a college dean. Things are never the same after she is taken to hospital and operated upon by Jed, a ""know all"" doctor.","English, French","Canada, United States",2 wins,https://m.media-amazon.com/images/M/MV5BZGUyZGZiMjktN2ViNS00MTkyLTgzMGQtNmE2YmFiNzFlMjllXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg
The Man Without a Face,1993,PG-13,25 Aug 1993,115 min,Drama,Mel Gibson,"Isabelle Holland, Malcolm MacRury","Mel Gibson, Nick Stahl, Margaret Whitton",Chuck wants to leave home but can't make the grade for boarding school. Then he finds out the disfigured recluse living nearby is an ex-teacher.,English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BNGFmYzI4NDUtM2VkNC00YWZkLTkwODgtZTI4MjA0ZTRhNjIxXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg
Manhattan Murder Mystery,1993,PG,18 Aug 1993,104 min,"Comedy, Mystery",Woody Allen,"Woody Allen, Marshall Brickman","Woody Allen, Diane Keaton, Jerry Adler",A middle-aged couple suspects foul play when their neighbor's wife suddenly drops dead.,English,United States,Nominated for 1 BAFTA Award4 nominations total,https://m.media-amazon.com/images/M/MV5BMWM5MGZiZDAtMWE0Ny00MjY3LWJlOWItNjY4MmI4NDAyM2NhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg
Menace II Society,1993,R,26 May 1993,97 min,"Crime, Drama, Thriller","Albert Hughes, Allen Hughes","Allen Hughes, Albert Hughes, Tyger Williams","Tyrin Turner, Larenz Tate, June Kyoto Lu",A young street hustler attempts to escape the rigors and temptations of the ghetto in a quest for a better life.,English,United States,2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BNGE3MGI0MzItNjJjNC00ZTUzLTlmZTctOGUyMDllMWM2OTcxXkEyXkFqcGdeQXVyMjQ1MjYzOTQ@._V1_SX300.jpg
Executive Decision,1996,R,15 Mar 1996,133 min,"Action, Adventure, Thriller",Stuart Baird,"Jim Thomas, John Thomas","Kurt Russell, Halle Berry, John Leguizamo","When terrorists seize control of an airliner, an intelligence analyst accompanies a commando unit for a midair boarding operation.","English, Arabic",United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BOTFiYzg1ZGUtNTZiOC00MWNmLWFiMmItZGNkOGU2NzE0MTJhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
In the Realm of the Senses,1976,X,01 Apr 1977,109 min,"Drama, Romance",Nagisa Ôshima,"Nagisa Ôshima, Kôji Wakamatsu","Tatsuya Fuji, Eiko Matsuda, Aoi Nakajima","A passionate telling of the story of Sada Abe, a woman whose affair with her master led to an obsessive and ultimately destructive sexual relationship.",Japanese,"Japan, France",4 wins,https://m.media-amazon.com/images/M/MV5BYTg4MGY0YjMtN2Y2MC00MjQ4LTk5MzEtNDdkZjliMGZmMDU0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
What Happened Was...,1994,R,09 Sep 1994,91 min,"Comedy, Drama, Romance",Tom Noonan,Tom Noonan,"Tom Noonan, Karen Sillas","Jackie and Michael are coworkers at a large law firm, who decide to meet at Jackie's for dinner one night. As this 'first date' plays out, the audience is guided through a mental minefield of disappointment.",English,United States,3 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BZDJiMGI5OGYtZGM0YS00Y2E0LWJlMDAtODIzNzRjNDk5NTBkXkEyXkFqcGdeQXVyMjQ0NzcxNjM@._V1_SX300.jpg
Much Ado About Nothing,1993,PG-13,02 Jul 1993,111 min,"Comedy, Drama, Romance",Kenneth Branagh,"William Shakespeare, Kenneth Branagh","Kenneth Branagh, Emma Thompson, Keanu Reeves","Young lovers, and soon to wed, Hero and Claudio conspire to get verbal sparring partners and confirmed singles, Benedick and Beatrice, to wed as well.",English,"United Kingdom, United States",Nominated for 1 BAFTA Award5 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BY2Q3YTU4OTgtZTc0My00YmY1LWJmOTQtMmMwNGE2ZjBmNmIxXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
Mr. Wonderful,1993,PG-13,15 Oct 1993,98 min,"Comedy, Romance",Anthony Minghella,"Amy Schor Ferris, Vicki Polon","Matt Dillon, Annabella Sciorra, Mary-Louise Parker","In an attempt to end alimony payments, a working class man tries to set up his ex wife with potential husbands.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZWI3OWE2ODYtMzE0NC00ZGI4LTk1MTAtZWUxMDU1NDE0M2U3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Mrs. Doubtfire,1993,PG-13,24 Nov 1993,125 min,"Comedy, Drama",Chris Columbus,"Anne Fine, Randi Mayem Singer, Leslie Dixon","Robin Williams, Sally Field, Pierce Brosnan","After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife.",English,United States,Won 1 Oscar. 11 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMjExMDUzODE1N15BMl5BanBnXkFtZTgwNTU5NTYxMTE@._V1_SX300.jpg
Naked,1993,Not Rated,04 Feb 1994,131 min,"Comedy, Drama",Mike Leigh,Mike Leigh,"David Thewlis, Lesley Sharp, Katrin Cartlidge",An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.,English,United Kingdom,Nominated for 1 BAFTA Award8 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMjA3Y2I4NjAtMDQyZS00ZGJhLWEwMzgtODBiNzE5Zjc1Nzk1L2ltYWdlXkEyXkFqcGdeQXVyNTc2MDU0NDE@._V1_SX300.jpg
The Next Karate Kid,1994,PG,09 Sep 1994,107 min,"Action, Drama, Family",Christopher Cain,"Robert Mark Kamen, Mark Lee","Pat Morita, Hilary Swank, Michael Ironside",Mr. Miyagi is back and he takes a new pupil under his wing: a troubled adolescent girl.,English,United States,1 win,https://m.media-amazon.com/images/M/MV5BYzQwOTVkZmQtMDMwNS00ZTQzLTlkODUtOWI0NDZkMjYxNWUwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
No Escape,1994,R,29 Apr 1994,118 min,"Action, Drama, Sci-Fi",Martin Campbell,"Richard Herley, Michael Gaylin, Joel Gross","Ray Liotta, Lance Henriksen, Stuart Wilson",A soldier convicted for murdering his commanding officer is dumped and left to die on a prison island inhabited by two camps of convicts.,English,"United States, United Kingdom",1 nomination,https://m.media-amazon.com/images/M/MV5BNzQ3ODA1ODc4N15BMl5BanBnXkFtZTgwMDI4MzgxMTE@._V1_SX300.jpg
North,1994,PG,22 Jul 1994,87 min,"Adventure, Comedy, Drama",Rob Reiner,"Alan Zweibel, Andrew Scheinman","Elijah Wood, Bruce Willis, Jason Alexander","Sick of the neglect he receives from his mom and dad, a young boy leaves home and travels the world in search of new parents.",English,United States,4 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BODc2MWQzMzUtZDMyZS00MmI2LWJlMDEtNTg1MjVjYzY0ZTRlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Orlando,1992,PG-13,09 Jun 1993,94 min,"Biography, Drama, Fantasy",Sally Potter,"Virginia Woolf, Walter Donohue, Sally Potter","Tilda Swinton, Billy Zane, Quentin Crisp","After Queen Elizabeth I commands him not to grow old, a young nobleman struggles with love and his place in the world.","English, French","United Kingdom, Russia, Italy, France, Netherlands",Nominated for 2 Oscars. 15 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BYmY1OTA3MjAtYjQxOC00OTlkLWExZWQtMjc3ZjExOWFhM2UwXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg
A Perfect World,1993,PG-13,24 Nov 1993,138 min,"Crime, Drama, Thriller",Clint Eastwood,John Lee Hancock,"Kevin Costner, Clint Eastwood, Laura Dern","A kidnapped boy strikes up a friendship with his captor, an escaped convict on the run from the law, while the search for him continues.","English, Spanish",United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BZjcyYmU1NzYtMmJiYy00NjJlLWE5ZjMtZWNkOWNjZmQ4MzIyXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg
Philadelphia,1993,PG-13,14 Jan 1994,125 min,Drama,Jonathan Demme,Ron Nyswaner,"Tom Hanks, Denzel Washington, Roberta Maxwell","When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",English,United States,Won 2 Oscars. 20 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BNDE0MWE1ZTMtOWFkMS00YjdiLTkwZTItMDljYjY3MjM0NTk5XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg
The Piano,1993,R,11 Feb 1994,121 min,"Drama, Music, Romance",Jane Campion,Jane Campion,"Holly Hunter, Harvey Keitel, Sam Neill","In the mid-19th century a mute woman is sent to New Zealand along with her young daughter and prized piano for an arranged marriage to a farmer, but is soon lusted after by a farm worker.","English, British Sign , Maori","Australia, France, New Zealand",Won 3 Oscars. 65 wins & 56 nominations total,https://m.media-amazon.com/images/M/MV5BMWVkNzg3NDktOTFmMi00YjU2LTk0MzMtYTVjZjRiYTliZDkzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
Poetic Justice,1993,R,23 Jul 1993,109 min,"Drama, Romance",John Singleton,John Singleton,"Janet Jackson, Tupac Shakur, Regina King",Grieving hairdresser Justice goes on a road trip from South Central L.A. to Oakland on a mail truck alongside her friend and an obnoxious postal worker.,English,United States,Nominated for 1 Oscar. 5 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BZTk0YjE0ZTAtNDcyZC00MmRhLWFhYWQtZDVjN2U3ZDdjN2UzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
The Program,1993,R,24 Sep 1993,112 min,"Action, Drama, Romance",David S. Ward,"David S. Ward, Aaron Latham","James Caan, Halle Berry, Omar Epps","Several players from different backgrounds try to cope with the pressures of playing football at a major university. Each deals with the pressure differently, some turn to drinking, others to drugs, and some to studying.","English, German",United States,N/A,https://m.media-amazon.com/images/M/MV5BNmNlNjgxNGQtNzM0My00MzEwLTk4NTktMzI1OTYwM2JjYzE1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
The Puppet Masters,1994,R,21 Oct 1994,109 min,"Horror, Sci-Fi, Thriller",Stuart Orme,"Robert A. Heinlein, Ted Elliott, Terry Rossio","Donald Sutherland, Eric Thal, Julie Warner","The Earth is invaded by stingray-shaped alien ""slugs"" that ride on people's backs and control their minds.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BNDcyMGRmMTMtZDhiYy00YmM4LTkwNDQtM2FlOGViYTgwZmRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Radioland Murders,1994,PG,21 Oct 1994,108 min,"Comedy, Crime, Drama",Mel Smith,"George Lucas, Willard Huyck, Gloria Katz","Brian Benben, Mary Stuart Masterson, Ned Beatty",A series of mysterious crimes threatens the existence of a new radio network.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMWRkYzc3YjYtNWY3Yy00Y2FmLTgyOTYtM2U2ZDg0MDA0MTIwXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg
The Ref,1994,R,11 Mar 1994,97 min,"Comedy, Crime, Drama",Ted Demme,"Marie Weiss, Richard LaGravenese","Denis Leary, Judy Davis, Kevin Spacey","A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve.",English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BNDA2Yzg3ZGUtMmJlOC00NzY2LWIxMDYtODcwOTM0ZWZhNWQ0XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg
The Remains of the Day,1993,PG,19 Nov 1993,134 min,"Drama, Romance",James Ivory,"Kazuo Ishiguro, Ruth Prawer Jhabvala","Anthony Hopkins, Emma Thompson, John Haycraft",A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,"English, French, German","United Kingdom, United States",Nominated for 8 Oscars. 17 wins & 41 nominations total,https://m.media-amazon.com/images/M/MV5BNDYwOThlMDAtYWUwMS00MjY5LTliMGUtZWFiYTA5MjYwZDAyXkEyXkFqcGdeQXVyNjY1NTQ0NDg@._V1_SX300.jpg
Renaissance Man,1994,PG-13,03 Jun 1994,128 min,"Comedy, Drama",Penny Marshall,Jim Burnstein,"Danny DeVito, Gregory Hines, James Remar",A failed businessman is hired by the army to teach a group of underachieving recruits in order to help them pass basic training.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNDFhMzVhMWMtNGQ2ZS00YjlmLTg0ZGUtNDUzN2IxOThhZDViXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
Rising Sun,1993,R,30 Jul 1993,129 min,"Action, Crime, Drama",Philip Kaufman,"Michael Crichton, Philip Kaufman, Michael Backes","Sean Connery, Wesley Snipes, Harvey Keitel","When an escort girl is found dead in the offices of a Japanese company in Los Angeles, detectives Web Smith and John Connor act as liaison between the company's executives and the investigating cop Tom Graham.","English, Japanese",United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMTNjYzRjYjMtMWY4ZS00NzU1LTlmMGUtOWY5OTg4N2IyMjQ1XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg
The Road to Wellville,1994,R,28 Oct 1994,118 min,"Comedy, Drama",Alan Parker,"T. Coraghessan Boyle, Alan Parker","Anthony Hopkins, Bridget Fonda, Matthew Broderick","A story about the ins and outs of one unusual health facility in the early twentieth century, run by the eccentric Dr. John Harvey Kellogg.",English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BMGMyMWI5ODMtZGFjYS00MjQ0LWI0MDYtYWY2Yzc4MmUwY2YyXkEyXkFqcGdeQXVyNTM0NTU5Mg@@._V1_SX300.jpg
RoboCop 3,1993,PG-13,05 Nov 1993,104 min,"Action, Crime, Sci-Fi",Fred Dekker,"Edward Neumeier, Michael Miner, Frank Miller","Robert John Burke, Nancy Allen, Mario Machado","Robocop saves the day once more. This time the half man/half robot takes on ruthless developers who want to evict some people on ""their"" land.","English, Japanese",United States,3 nominations,https://m.media-amazon.com/images/M/MV5BYTVlYjZiMGEtZWQyMy00NTE5LWFmNmYtNjFjMjk1YjNiOGZmXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg
Robin Hood: Men in Tights,1993,PG-13,28 Jul 1993,104 min,"Adventure, Comedy, Musical",Mel Brooks,"J.D. Shapiro, Evan Chandler, Mel Brooks","Cary Elwes, Richard Lewis, Roger Rees","A spoof of Robin Hood in general, and Robin Hood: Prince of Thieves (1991) in particular.",English,"France, United States",1 nomination,https://m.media-amazon.com/images/M/MV5BZGYyNmU2NmEtNGU1ZS00YjFkLWI0MWQtZjU2MmUxZDAyN2UxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
Romeo Is Bleeding,1993,R,04 Feb 1994,110 min,"Crime, Drama, Romance",Peter Medak,Hilary Henkin,"Gary Oldman, Lena Olin, Wallace Wood","A womanizing, crooked cop on the payroll of the mafia is confronted with the reality of his double life after he is asked to kill a beautiful and ruthless Russian gangster.",English,"United Kingdom, United States",2 nominations,https://m.media-amazon.com/images/M/MV5BNTY1OTA1ZDEtNzVmNi00MWEwLWJlYjItM2UyZDhmNmZiZDE2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg
Romper Stomper,1992,R,12 Nov 1992,94 min,"Crime, Drama, Thriller",Geoffrey Wright,Geoffrey Wright,"Russell Crowe, Daniel Pollock, Jacqueline McKenzie",A group of skinheads become alarmed at the way their neighbourhood is changing.,"English, Vietnamese, German, Japanese",Australia,8 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BOTEzZjE4ZmMtYTdmMi00NDE3LTg1ZDYtMTRmMGEwMzdmODUyXkEyXkFqcGdeQXVyNTM0NTU5Mg@@._V1_SX300.jpg
Ruby in Paradise,1993,R,05 Nov 1993,114 min,"Drama, Romance",Victor Nunez,"Jane Austen, Victor Nunez","Ashley Judd, Todd Field, Bentley Mitchum",A young woman struggles for independence and identity in a small Florida tourist town.,English,United States,3 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BYzE2NDVmMDEtOWI5Yi00OWZmLWE1MGYtZTJiNTgzNTkzOWM5XkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg
